timestamp,value,anomaly_score,label,S(t)_reward_low_FP_rate,S(t)_reward_low_FN_rate,S(t)_standard
2015-03-09 09:12:53,1,0.0494689164828,0,0.0,0.0,0.0
2015-03-09 09:17:53,3,0.0354590550979,0,0.0,0.0,0.0
2015-03-09 09:22:53,5,0.0354590550979,0,0.0,0.0,0.0
2015-03-09 09:27:53,1,0.0194658363252,0,0.0,0.0,0.0
2015-03-09 09:32:53,0,0.0234960120206,0,0.0,0.0,0.0
2015-03-09 09:37:53,1,0.0234960120206,0,0.0,0.0,0.0
2015-03-09 09:42:53,1,0.0234960120206,0,0.0,0.0,0.0
2015-03-09 09:47:53,7,0.0234960120206,0,0.0,0.0,0.0
2015-03-09 09:52:53,3,0.0234960120206,0,0.0,0.0,0.0
2015-03-09 09:57:53,5,0.0234960120206,0,0.0,0.0,0.0
2015-03-09 10:02:53,2,0.0234960120206,0,0.0,0.0,0.0
2015-03-09 10:07:53,4,0.0234960120206,0,0.0,0.0,0.0
2015-03-09 10:12:53,5,0.0234960120206,0,0.0,0.0,0.0
2015-03-09 10:17:53,2,0.0234960120206,0,0.0,0.0,0.0
2015-03-09 10:22:53,3,0.010540907971,0,0.0,0.0,0.0
2015-03-09 10:27:53,3,0.010540907971,0,0.0,0.0,0.0
2015-03-09 10:32:53,1,0.010540907971,0,0.0,0.0,0.0
2015-03-09 10:37:53,1,0.010540907971,0,0.0,0.0,0.0
2015-03-09 10:42:53,3,0.010540907971,0,0.0,0.0,0.0
2015-03-09 10:47:53,2,0.010540907971,0,0.0,0.0,0.0
2015-03-09 10:52:53,1,0.010540907971,0,0.0,0.0,0.0
2015-03-09 10:57:53,2,0.010540907971,0,0.0,0.0,0.0
2015-03-09 11:02:53,3,0.010540907971,0,0.0,0.0,0.0
2015-03-09 11:07:53,2,0.010540907971,0,0.0,0.0,0.0
2015-03-09 11:12:53,2,0.010540907971,0,0.0,0.0,0.0
2015-03-09 11:17:53,5,0.010540907971,0,0.0,0.0,0.0
2015-03-09 11:22:53,0,0.0641742969807,0,0.0,0.0,0.0
2015-03-09 11:27:53,3,0.0641742969807,0,0.0,0.0,0.0
2015-03-09 11:32:53,2,0.0641742969807,0,0.0,0.0,0.0
2015-03-09 11:37:53,3,0.0641742969807,0,0.0,0.0,0.0
2015-03-09 11:42:53,4,0.0641742969807,0,0.0,0.0,0.0
2015-03-09 11:47:53,2,0.0641742969807,0,0.0,0.0,0.0
2015-03-09 11:52:53,7,0.0641742969807,0,0.0,0.0,0.0
2015-03-09 11:57:53,12,0.0641742969807,0,0.0,0.0,0.0
2015-03-09 12:02:53,6,0.0641742969807,0,0.0,0.0,0.0
2015-03-09 12:07:53,6,0.0641742969807,0,0.0,0.0,0.0
2015-03-09 12:12:53,3,0.010540907971,0,0.0,0.0,0.0
2015-03-09 12:17:53,6,0.010540907971,0,0.0,0.0,0.0
2015-03-09 12:22:53,6,0.010540907971,0,0.0,0.0,0.0
2015-03-09 12:27:53,1,0.010540907971,0,0.0,0.0,0.0
2015-03-09 12:32:53,3,0.010540907971,0,0.0,0.0,0.0
2015-03-09 12:37:53,6,0.010540907971,0,0.0,0.0,0.0
2015-03-09 12:42:53,1,0.010540907971,0,0.0,0.0,0.0
2015-03-09 12:47:53,3,0.010540907971,0,0.0,0.0,0.0
2015-03-09 12:52:53,4,0.010540907971,0,0.0,0.0,0.0
2015-03-09 12:57:53,8,0.010540907971,0,0.0,0.0,0.0
2015-03-09 13:02:53,4,0.010540907971,0,0.0,0.0,0.0
2015-03-09 13:07:53,2,0.010540907971,0,0.0,0.0,0.0
2015-03-09 13:12:53,5,0.010540907971,0,0.0,0.0,0.0
2015-03-09 13:17:53,4,0.010540907971,0,0.0,0.0,0.0
2015-03-09 13:22:53,8,0.010540907971,0,0.0,0.0,0.0
2015-03-09 13:27:53,12,0.010540907971,0,0.0,0.0,0.0
2015-03-09 13:32:53,5,0.010540907971,0,0.0,0.0,0.0
2015-03-09 13:37:53,7,0.010540907971,0,0.0,0.0,0.0
2015-03-09 13:42:53,6,0.010540907971,0,0.0,0.0,0.0
2015-03-09 13:47:53,4,0.010540907971,0,0.0,0.0,0.0
2015-03-09 13:52:53,5,0.010540907971,0,0.0,0.0,0.0
2015-03-09 13:57:53,7,0.010540907971,0,0.0,0.0,0.0
2015-03-09 14:02:53,5,0.010540907971,0,0.0,0.0,0.0
2015-03-09 14:07:53,4,0.010540907971,0,0.0,0.0,0.0
2015-03-09 14:12:53,0,0.0114334280849,0,0.0,0.0,0.0
2015-03-09 14:17:53,5,0.0114334280849,0,0.0,0.0,0.0
2015-03-09 14:22:53,4,0.0114334280849,0,0.0,0.0,0.0
2015-03-09 14:27:53,6,0.0114334280849,0,0.0,0.0,0.0
2015-03-09 14:32:53,9,0.0114334280849,0,0.0,0.0,0.0
2015-03-09 14:37:53,2,0.0114334280849,0,0.0,0.0,0.0
2015-03-09 14:42:53,1,0.0114334280849,0,0.0,0.0,0.0
2015-03-09 14:47:53,4,0.0114334280849,0,0.0,0.0,0.0
2015-03-09 14:52:53,1,0.0114334280849,0,0.0,0.0,0.0
2015-03-09 14:57:53,8,0.0114334280849,0,0.0,0.0,0.0
2015-03-09 15:02:53,7,0.010540907971,0,0.0,0.0,0.0
2015-03-09 15:07:53,5,0.010540907971,0,0.0,0.0,0.0
2015-03-09 15:12:53,5,0.010540907971,0,0.0,0.0,0.0
2015-03-09 15:17:53,3,0.010540907971,0,0.0,0.0,0.0
2015-03-09 15:22:53,0,0.0357587475098,0,0.0,0.0,0.0
2015-03-09 15:27:53,3,0.0357587475098,0,0.0,0.0,0.0
2015-03-09 15:32:53,4,0.0357587475098,0,0.0,0.0,0.0
2015-03-09 15:37:53,1,0.0357587475098,0,0.0,0.0,0.0
2015-03-09 15:42:53,4,0.0357587475098,0,0.0,0.0,0.0
2015-03-09 15:47:53,6,0.0357587475098,0,0.0,0.0,0.0
2015-03-09 15:52:53,13,0.0357587475098,0,0.0,0.0,0.0
2015-03-09 15:57:53,16,0.0357587475098,0,0.0,0.0,0.0
2015-03-09 16:02:53,8,0.0363423224687,0,0.0,0.0,0.0
2015-03-09 16:07:53,8,0.0363423224687,0,0.0,0.0,0.0
2015-03-09 16:12:53,3,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 16:17:53,4,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 16:22:53,8,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 16:27:53,8,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 16:32:53,4,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 16:37:53,7,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 16:42:53,4,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 16:47:53,3,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 16:52:53,5,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 16:57:53,8,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 17:02:53,3,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 17:07:53,4,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 17:12:53,3,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 17:17:53,3,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 17:22:53,12,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 17:27:53,16,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 17:32:53,15,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 17:37:53,8,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 17:42:53,10,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 17:47:53,16,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 17:52:53,10,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 17:57:53,9,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 18:02:53,10,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 18:07:53,4,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 18:12:53,11,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 18:17:53,13,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 18:22:53,14,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 18:27:53,15,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 18:32:53,4,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 18:37:53,10,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 18:42:53,12,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 18:47:53,4,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 18:52:53,7,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 18:57:53,3,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 19:02:53,10,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 19:07:53,4,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 19:12:53,7,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 19:17:53,7,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 19:22:53,4,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 19:27:53,6,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 19:32:53,6,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 19:37:53,5,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 19:42:53,7,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 19:47:53,5,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 19:52:53,15,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 19:57:53,11,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 20:02:53,4,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 20:07:53,5,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 20:12:53,7,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 20:17:53,8,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 20:22:53,2,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 20:27:53,12,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 20:32:53,9,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 20:37:53,5,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 20:42:53,10,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 20:47:53,7,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 20:52:53,9,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 20:57:53,10,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 21:02:53,15,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 21:07:53,5,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 21:12:53,5,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 21:17:53,8,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 21:22:53,9,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 21:27:53,3,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 21:32:53,2,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 21:37:53,1,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 21:42:53,7,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 21:47:53,6,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 21:52:53,9,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 21:57:53,11,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 22:02:53,10,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 22:07:53,9,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 22:12:53,4,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 22:17:53,3,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 22:22:53,0,0.0267600274674,0,0.0,0.0,0.0
2015-03-09 22:27:53,6,0.0267600274674,0,0.0,0.0,0.0
2015-03-09 22:32:53,7,0.0267600274674,0,0.0,0.0,0.0
2015-03-09 22:37:53,7,0.0267600274674,0,0.0,0.0,0.0
2015-03-09 22:42:53,17,0.0267600274674,0,0.0,0.0,0.0
2015-03-09 22:47:53,6,0.0267600274674,0,0.0,0.0,0.0
2015-03-09 22:52:53,10,0.0267600274674,0,0.0,0.0,0.0
2015-03-09 22:57:53,5,0.0267600274674,0,0.0,0.0,0.0
2015-03-09 23:02:53,3,0.0267600274674,0,0.0,0.0,0.0
2015-03-09 23:07:53,7,0.0267600274674,0,0.0,0.0,0.0
2015-03-09 23:12:53,2,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 23:17:53,4,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 23:22:53,3,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 23:27:53,4,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 23:32:53,8,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 23:37:53,7,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 23:42:53,1,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 23:47:53,3,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 23:52:53,6,0.0106167080917,0,0.0,0.0,0.0
2015-03-09 23:57:53,5,0.0106167080917,0,0.0,0.0,0.0
2015-03-10 00:02:53,1,0.0106167080917,0,0.0,0.0,0.0
2015-03-10 00:07:53,1,0.0106167080917,0,0.0,0.0,0.0
2015-03-10 00:12:53,3,0.0106167080917,0,0.0,0.0,0.0
2015-03-10 00:17:53,1,0.0106167080917,0,0.0,0.0,0.0
2015-03-10 00:22:53,4,0.0109153600807,0,0.0,0.0,0.0
2015-03-10 00:27:53,2,0.0109153600807,0,0.0,0.0,0.0
2015-03-10 00:32:53,3,0.0109153600807,0,0.0,0.0,0.0
2015-03-10 00:37:53,2,0.0109153600807,0,0.0,0.0,0.0
2015-03-10 00:42:53,9,0.0109153600807,0,0.0,0.0,0.0
2015-03-10 00:47:53,8,0.0109153600807,0,0.0,0.0,0.0
2015-03-10 00:52:53,8,0.0109153600807,0,0.0,0.0,0.0
2015-03-10 00:57:53,7,0.0109153600807,0,0.0,0.0,0.0
2015-03-10 01:02:53,4,0.0109153600807,0,0.0,0.0,0.0
2015-03-10 01:07:53,5,0.0109153600807,0,0.0,0.0,0.0
2015-03-10 01:12:53,14,0.0109153600807,0,0.0,0.0,0.0
2015-03-10 01:17:53,1,0.0109156705309,0,0.0,0.0,0.0
2015-03-10 01:22:53,5,0.0109156705309,0,0.0,0.0,0.0
2015-03-10 01:27:53,4,0.0109156705309,0,0.0,0.0,0.0
2015-03-10 01:32:53,4,0.0109156705309,0,0.0,0.0,0.0
2015-03-10 01:37:53,3,0.0109156705309,0,0.0,0.0,0.0
2015-03-10 01:42:53,0,0.0195723571588,0,0.0,0.0,0.0
2015-03-10 01:47:53,1,0.0195723571588,0,0.0,0.0,0.0
2015-03-10 01:52:53,5,0.0195723571588,0,0.0,0.0,0.0
2015-03-10 01:57:53,5,0.0195723571588,0,0.0,0.0,0.0
2015-03-10 02:02:53,5,0.0195723571588,0,0.0,0.0,0.0
2015-03-10 02:07:53,2,0.0195718798846,0,0.0,0.0,0.0
2015-03-10 02:12:53,1,0.0195718798846,0,0.0,0.0,0.0
2015-03-10 02:17:53,2,0.0195718798846,0,0.0,0.0,0.0
2015-03-10 02:22:53,0,0.0272187087543,0,0.0,0.0,0.0
2015-03-10 02:27:53,1,0.0272187087543,0,0.0,0.0,0.0
2015-03-10 02:32:53,3,0.0160271541532,0,0.0,0.0,0.0
2015-03-10 02:37:53,6,0.0160271541532,0,0.0,0.0,0.0
2015-03-10 02:42:53,4,0.0160271541532,0,0.0,0.0,0.0
2015-03-10 02:47:53,0,0.0437557686861,0,0.0,0.0,0.0
2015-03-10 02:52:53,0,0.0528813209128,0,0.0,0.0,0.0
2015-03-10 02:57:53,2,0.0528813209128,0,0.0,0.0,0.0
2015-03-10 03:02:53,3,0.0528813209128,0,0.0,0.0,0.0
2015-03-10 03:07:53,1,0.0528813209128,0,0.0,0.0,0.0
2015-03-10 03:12:53,2,0.0405523400496,0,0.0,0.0,0.0
2015-03-10 03:17:53,4,0.0405523400496,0,0.0,0.0,0.0
2015-03-10 03:22:53,2,0.0405523400496,0,0.0,0.0,0.0
2015-03-10 03:27:53,1,0.0405523400496,0,0.0,0.0,0.0
2015-03-10 03:32:53,4,0.0405523400496,0,0.0,0.0,0.0
2015-03-10 03:37:53,1,0.0144614775926,0,0.0,0.0,0.0
2015-03-10 03:42:53,4,0.0109153600807,0,0.0,0.0,0.0
2015-03-10 03:47:53,12,0.0109153600807,0,0.0,0.0,0.0
2015-03-10 03:52:53,28,0.0109153600807,0,0.0,0.0,0.0
2015-03-10 03:57:53,2,0.0109153600807,0,0.0,0.0,0.0
2015-03-10 04:02:53,0,0.466366058914,0,0.0,0.0,0.0
2015-03-10 04:07:53,2,0.466366058914,0,0.0,0.0,0.0
2015-03-10 04:12:53,1,0.466366058914,0,0.0,0.0,0.0
2015-03-10 04:17:53,1,0.466366058914,0,0.0,0.0,0.0
2015-03-10 04:22:53,1,0.466366058914,0,0.0,0.0,0.0
2015-03-10 04:27:53,0,0.589331468805,0,0.0,0.0,0.0
2015-03-10 04:32:53,1,0.299999996735,0,0.0,0.0,0.0
2015-03-10 04:37:53,0,0.299999996735,0,0.0,0.0,0.0
2015-03-10 04:42:53,1,0.299999996735,0,0.0,0.0,0.0
2015-03-10 04:47:53,1,0.299999996735,0,0.0,0.0,0.0
2015-03-10 04:52:53,0,0.0451645879001,0,0.0,0.0,0.0
2015-03-10 04:57:53,2,0.0451645879001,0,0.0,0.0,0.0
2015-03-10 05:02:53,5,0.0451645879001,0,0.0,0.0,0.0
2015-03-10 05:07:53,6,0.0451645879001,0,0.0,0.0,0.0
2015-03-10 05:12:53,5,0.0451645879001,0,0.0,0.0,0.0
2015-03-10 05:17:53,2,0.022590600794,0,0.0,0.0,0.0
2015-03-10 05:22:53,2,0.022590600794,0,0.0,0.0,0.0
2015-03-10 05:27:53,1,0.0113591821544,0,0.0,0.0,0.0
2015-03-10 05:32:53,1,0.0113594368137,0,0.0,0.0,0.0
2015-03-10 05:37:53,2,0.0113594368137,0,0.0,0.0,0.0
2015-03-10 05:42:53,9,0.0109157005318,0,0.0,0.0,0.0
2015-03-10 05:47:53,1,0.0109159363153,0,0.0,0.0,0.0
2015-03-10 05:52:53,5,0.0109159363153,0,0.0,0.0,0.0
2015-03-10 05:57:53,4,0.0109159363153,0,0.0,0.0,0.0
2015-03-10 06:02:53,1,0.0109159899458,0,0.0,0.0,0.0
2015-03-10 06:07:53,1,0.0109159899458,0,0.0,0.0,0.0
2015-03-10 06:12:53,3,0.0109159899458,0,0.0,0.0,0.0
2015-03-10 06:17:53,0,0.0522931890909,0,0.0,0.0,0.0
2015-03-10 06:22:53,6,0.0522924410242,0,0.0,0.0,0.0
2015-03-10 06:27:53,6,0.0522924410242,0,0.0,0.0,0.0
2015-03-10 06:32:53,6,0.0522924410242,0,0.0,0.0,0.0
2015-03-10 06:37:53,2,0.0522917273523,0,0.0,0.0,0.0
2015-03-10 06:42:53,2,0.0522917273523,0,0.0,0.0,0.0
2015-03-10 06:47:53,1,0.0522925352831,0,0.0,0.0,0.0
2015-03-10 06:52:53,2,0.0522923729547,0,0.0,0.0,0.0
2015-03-10 06:57:53,6,0.0522923729547,0,0.0,0.0,0.0
2015-03-10 07:02:53,4,0.0522923729547,0,0.0,0.0,0.0
2015-03-10 07:07:53,0,0.0420170179767,0,0.0,0.0,0.0
2015-03-10 07:12:53,4,0.0420170179767,0,0.0,0.0,0.0
2015-03-10 07:17:53,0,0.260914545037,0,0.0,0.0,0.0
2015-03-10 07:22:53,4,0.260914545037,0,0.0,0.0,0.0
2015-03-10 07:27:53,9,0.260914545037,0,0.0,0.0,0.0
2015-03-10 07:32:53,5,0.260914545037,0,0.0,0.0,0.0
2015-03-10 07:37:53,2,0.260912377708,0,0.0,0.0,0.0
2015-03-10 07:42:53,5,0.260912377708,0,0.0,0.0,0.0
2015-03-10 07:47:53,1,0.260912377708,0,0.0,0.0,0.0
2015-03-10 07:52:53,2,0.260912377708,0,0.0,0.0,0.0
2015-03-10 07:57:53,5,0.139006592629,0,0.0,0.0,0.0
2015-03-10 08:02:53,2,0.139006592629,0,0.0,0.0,0.0
2015-03-10 08:07:53,6,0.0109153600807,0,0.0,0.0,0.0
2015-03-10 08:12:53,6,0.0109153600807,0,0.0,0.0,0.0
2015-03-10 08:17:53,1,0.0109153600807,0,0.0,0.0,0.0
2015-03-10 08:22:53,6,0.0109153600807,0,0.0,0.0,0.0
2015-03-10 08:27:53,4,0.0109153600807,0,0.0,0.0,0.0
2015-03-10 08:32:53,2,0.0109153600807,0,0.0,0.0,0.0
2015-03-10 08:37:53,2,0.0109153600807,0,0.0,0.0,0.0
2015-03-10 08:42:53,3,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 08:47:53,11,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 08:52:53,7,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 08:57:53,4,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 09:02:53,3,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 09:07:53,3,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 09:12:53,3,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 09:17:53,4,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 09:22:53,4,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 09:27:53,8,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 09:32:53,4,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 09:37:53,4,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 09:42:53,2,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 09:47:53,0,0.125881569936,0,0.0,0.0,0.0
2015-03-10 09:52:53,2,0.125881569936,0,0.0,0.0,0.0
2015-03-10 09:57:53,4,0.125881569936,0,0.0,0.0,0.0
2015-03-10 10:02:53,5,0.125881569936,0,0.0,0.0,0.0
2015-03-10 10:07:53,11,0.125881569936,0,0.0,0.0,0.0
2015-03-10 10:12:53,3,0.125881569936,0,0.0,0.0,0.0
2015-03-10 10:17:53,8,0.125881569936,0,0.0,0.0,0.0
2015-03-10 10:22:53,5,0.125881569936,0,0.0,0.0,0.0
2015-03-10 10:27:53,4,0.125881569936,0,0.0,0.0,0.0
2015-03-10 10:32:53,5,0.125881569936,0,0.0,0.0,0.0
2015-03-10 10:37:53,5,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 10:42:53,5,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 10:47:53,6,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 10:52:53,4,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 10:57:53,4,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 11:02:53,6,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 11:07:53,6,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 11:12:53,1,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 11:17:53,4,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 11:22:53,2,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 11:27:53,9,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 11:32:53,9,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 11:37:53,8,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 11:42:53,2,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 11:47:53,3,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 11:52:53,5,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 11:57:53,9,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 12:02:53,6,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 12:07:53,9,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 12:12:53,3,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 12:17:53,7,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 12:22:53,2,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 12:27:53,19,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 12:32:53,4,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 12:37:53,5,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 12:42:53,2,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 12:47:53,10,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 12:52:53,8,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 12:57:53,15,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 13:02:53,9,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 13:07:53,10,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 13:12:53,9,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 13:17:53,9,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 13:22:53,7,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 13:27:53,2,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 13:32:53,8,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 13:37:53,6,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 13:42:53,8,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 13:47:53,5,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 13:52:53,5,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 13:57:53,2,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 14:02:53,10,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 14:07:53,3,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 14:12:53,4,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 14:17:53,6,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 14:22:53,2,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 14:27:53,9,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 14:32:53,10,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 14:37:53,3,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 14:42:53,9,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 14:47:53,4,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 14:52:53,7,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 14:57:53,11,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 15:02:53,9,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 15:07:53,4,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 15:12:53,6,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 15:17:53,6,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 15:22:53,7,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 15:27:53,6,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 15:32:53,9,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 15:37:53,14,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 15:42:53,15,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 15:47:53,6,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 15:52:53,7,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 15:57:53,6,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 16:02:53,16,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 16:07:53,9,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 16:12:53,6,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 16:17:53,8,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 16:22:53,8,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 16:27:53,9,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 16:32:53,13,0.0110719144016,0,0.0,0.0,0.0
2015-03-10 16:37:53,8,0.0110719144016,0,0.0,0.0,0.0
